Class,precision,recall,f1-score,support,Model
0,0.9736842105263158,1.0,0.9866666666666666,37.0,NN_V1
1,1.0,1.0,1.0,44.0,NN_V1
2,1.0,0.9787234042553191,0.989247311827957,47.0,NN_V1
3,1.0,0.9629629629629629,0.9811320754716981,54.0,NN_V1
4,0.9473684210526315,1.0,0.972972972972973,36.0,NN_V1
0,0.9487179487179487,1.0,0.9736842105263158,37.0,NN_V2
1,1.0,0.9318181818181818,0.9647058823529412,44.0,NN_V2
2,0.9591836734693877,1.0,0.9791666666666666,47.0,NN_V2
3,1.0,0.9629629629629629,0.9811320754716981,54.0,NN_V2
4,0.972972972972973,1.0,0.9863013698630138,36.0,NN_V2
0,0.9736842105263158,1.0,0.9866666666666666,37.0,NN_V3
1,1.0,0.9772727272727273,0.9885057471264368,44.0,NN_V3
2,1.0,1.0,1.0,47.0,NN_V3
3,1.0,1.0,1.0,54.0,NN_V3
4,1.0,1.0,1.0,36.0,NN_V3
