epoch,accuracy,val_accuracy
1.000000000000000000e+00,1.986234039068222046e-01,1.880733966827392578e-01
2.000000000000000000e+00,2.015732526779174805e-01,1.880733966827392578e-01
3.000000000000000000e+00,2.261553555727005005e-01,1.743119210004806519e-01
4.000000000000000000e+00,2.241887897253036499e-01,2.155963331460952759e-01
5.000000000000000000e+00,2.084562480449676514e-01,1.880733966827392578e-01
6.000000000000000000e+00,1.976401209831237793e-01,1.743119210004806519e-01
7.000000000000000000e+00,1.789577156305313110e-01,1.788990795612335205e-01
8.000000000000000000e+00,2.094395309686660767e-01,1.880733966827392578e-01
9.000000000000000000e+00,2.084562480449676514e-01,2.247706353664398193e-01
1.000000000000000000e+01,2.192723751068115234e-01,1.880733966827392578e-01
1.100000000000000000e+01,2.084562480449676514e-01,1.788990795612335205e-01
1.200000000000000000e+01,2.212389409542083740e-01,1.880733966827392578e-01
1.300000000000000000e+01,2.241887897253036499e-01,1.926605552434921265e-01
1.400000000000000000e+01,2.143559455871582031e-01,1.880733966827392578e-01
1.500000000000000000e+01,2.094395309686660767e-01,1.972477138042449951e-01
1.600000000000000000e+01,2.271386384963989258e-01,1.880733966827392578e-01
1.700000000000000000e+01,2.182890921831130981e-01,1.880733966827392578e-01
1.800000000000000000e+01,2.212389409542083740e-01,1.834862381219863892e-01
1.900000000000000000e+01,2.320550680160522461e-01,1.834862381219863892e-01
2.000000000000000000e+01,2.271386384963989258e-01,1.880733966827392578e-01
2.100000000000000000e+01,2.163225114345550537e-01,2.110091745853424072e-01
2.200000000000000000e+01,2.448377609252929688e-01,2.201834917068481445e-01
2.300000000000000000e+01,2.261553555727005005e-01,2.018348574638366699e-01
2.400000000000000000e+01,2.291052043437957764e-01,1.834862381219863892e-01
2.500000000000000000e+01,2.232055068016052246e-01,2.155963331460952759e-01
2.600000000000000000e+01,2.251720726490020752e-01,1.926605552434921265e-01
2.700000000000000000e+01,2.350049167871475220e-01,2.201834917068481445e-01
2.800000000000000000e+01,2.300885021686553955e-01,1.880733966827392578e-01
2.900000000000000000e+01,2.261553555727005005e-01,1.880733966827392578e-01
3.000000000000000000e+01,2.369714826345443726e-01,1.880733966827392578e-01
3.100000000000000000e+01,2.389380484819412231e-01,2.110091745853424072e-01
3.200000000000000000e+01,2.261553555727005005e-01,1.834862381219863892e-01
3.300000000000000000e+01,2.222222238779067993e-01,1.926605552434921265e-01
3.400000000000000000e+01,2.173057943582534790e-01,1.880733966827392578e-01
3.500000000000000000e+01,2.173057943582534790e-01,1.880733966827392578e-01
3.600000000000000000e+01,2.261553555727005005e-01,1.880733966827392578e-01
3.700000000000000000e+01,2.320550680160522461e-01,1.926605552434921265e-01
3.800000000000000000e+01,2.281219214200973511e-01,1.880733966827392578e-01
3.900000000000000000e+01,2.369714826345443726e-01,2.155963331460952759e-01
4.000000000000000000e+01,2.232055068016052246e-01,1.880733966827392578e-01
4.100000000000000000e+01,2.330383509397506714e-01,2.110091745853424072e-01
4.200000000000000000e+01,2.300885021686553955e-01,2.155963331460952759e-01
4.300000000000000000e+01,2.595870196819305420e-01,1.697247773408889771e-01
4.400000000000000000e+01,2.399213314056396484e-01,2.110091745853424072e-01
4.500000000000000000e+01,2.468043267726898193e-01,2.155963331460952759e-01
4.600000000000000000e+01,2.743362784385681152e-01,2.568807303905487061e-01
4.700000000000000000e+01,2.704031467437744141e-01,1.834862381219863892e-01
4.800000000000000000e+01,2.615535855293273926e-01,1.880733966827392578e-01
4.900000000000000000e+01,2.586037218570709229e-01,2.201834917068481445e-01
5.000000000000000000e+01,2.605703175067901611e-01,2.293577939271926880e-01
5.100000000000000000e+01,2.684365808963775635e-01,2.201834917068481445e-01
5.200000000000000000e+01,2.802359759807586670e-01,2.614679038524627686e-01
5.300000000000000000e+01,2.527040243148803711e-01,1.880733966827392578e-01
5.400000000000000000e+01,2.664700150489807129e-01,2.064220160245895386e-01
5.500000000000000000e+01,2.861357033252716064e-01,2.385321110486984253e-01
5.600000000000000000e+01,2.546705901622772217e-01,2.064220160245895386e-01
5.700000000000000000e+01,2.822025418281555176e-01,2.385321110486984253e-01
5.800000000000000000e+01,2.930186688899993896e-01,2.568807303905487061e-01
