model,class,precision,recall,f1,support
NN_V1,0,0.9737,1.0000,0.9867,37
NN_V1,1,1.0000,1.0000,1.0000,44
NN_V1,2,1.0000,0.9787,0.9892,47
NN_V1,3,1.0000,0.9630,0.9811,54
NN_V1,4,0.9474,1.0000,0.9730,36
NN_V2,0,0.9487,1.0000,0.9737,37
NN_V2,1,1.0000,0.9318,0.9647,44
NN_V2,2,0.9592,1.0000,0.9792,47
NN_V2,3,1.0000,0.9630,0.9811,54
NN_V2,4,0.9730,1.0000,0.9863,36
NN_V3,0,0.9737,1.0000,0.9867,37
NN_V3,1,1.0000,0.9773,0.9885,44
NN_V3,2,1.0000,1.0000,1.0000,47
NN_V3,3,1.0000,1.0000,1.0000,54
NN_V3,4,1.0000,1.0000,1.0000,36
